,masa,px,py,pz,E,masa*,px*,py*,pz*,E*
61,-13.0,-20.556363350999998,-14.455215824000001,-38.043337094,45.593999999999994,13.0,20.556363350999998,14.455215824000001,38.043337094,45.593999999999994
62,-13.0,-16.409190639000002,41.437456608000005,-9.6170935558,45.593999999999994,13.0,16.409190639000002,-41.437456608000005,9.6170935558,45.593999999999994
63,-13.0,22.909881352,25.259817971999997,-30.263703813000003,45.593999999999994,13.0,-22.909881352,-25.259817971999997,30.263703813000003,45.593999999999994
64,-13.0,-18.660853648,-2.5780026989,-41.520347773000005,45.593999999999994,13.0,18.660853648,2.5780026989,41.520347773000005,45.593999999999994
65,-13.0,-20.356073436,22.43785433,34.07324175,45.593999999999994,13.0,20.356073436,-22.43785433,-34.07324175,45.593999999999994
66,-13.0,11.097442539000001,-40.005685605,18.846875719,45.593999999999994,13.0,-11.097442539000001,40.005685605,-18.846875719,45.593999999999994
67,-13.0,40.927819232,-11.880869703,16.204054556,45.593999999999994,13.0,-40.927819232,11.880869703,-16.204054556,45.593999999999994
68,-13.0,-40.321090276999996,3.6511193006,20.968830267,45.593999999999994,13.0,40.321090276999996,-3.6511193006,-20.968830267,45.593999999999994
69,-13.0,14.193299502999999,34.219351179,26.578169428000002,45.593999999999994,13.0,-14.193299502999999,-34.219351179,-26.578169428000002,45.593999999999994
70,-13.0,-20.770134455999997,-18.791396267,35.976350245999996,45.593999999999994,13.0,20.770134455999997,18.791396267,-35.976350245999996,45.593999999999994
71,-13.0,0.25470227016999997,45.58951778,0.58637131924,45.593999999999994,13.0,-0.25470227016999997,-45.58951778,-0.58637131924,45.593999999999994
72,-13.0,5.8291510815,-35.448638365,-28.075396199,45.593999999999994,13.0,-5.8291510815,35.448638365,28.075396199,45.593999999999994
73,-13.0,-24.878543896,-25.690305245,28.282134043000003,45.593999999999994,13.0,24.878543896,25.690305245,-28.282134043000003,45.593999999999994
74,-13.0,-43.681918124,-0.56785095018,13.052984729,45.593999999999994,13.0,43.681918124,0.56785095018,-13.052984729,45.593999999999994
75,-13.0,-27.406948229,-10.352601689,34.935593069,45.593999999999994,13.0,27.406948229,10.352601689,-34.935593069,45.593999999999994
76,-13.0,10.018618896,0.20039642081,44.47920809399999,45.593999999999994,13.0,-10.018618896,-0.20039642081,-44.47920809399999,45.593999999999994
77,-13.0,-15.184164142,8.3160586721,-42.179345223,45.593999999999994,13.0,15.184164142,-8.3160586721,42.179345223,45.593999999999994
78,-13.0,-22.00580828,1.5510127307,39.901774365,45.593999999999994,13.0,22.00580828,-1.5510127307,-39.901774365,45.593999999999994
79,-13.0,-19.660684175,-37.432708729,17.060558342,45.593999999999994,13.0,19.660684175,37.432708729,-17.060558342,45.593999999999994
80,-13.0,2.8558589336,17.065226629,-42.183349154,45.593999999999994,13.0,-2.8558589336,-17.065226629,42.183349154,45.593999999999994
81,-13.0,-14.167001379,-20.802003468,-38.018226677,45.593999999999994,13.0,14.167001379,20.802003468,38.018226677,45.593999999999994
82,-13.0,-13.553937966,-20.704300954,38.294066428,45.593999999999994,13.0,13.553937966,20.704300954,-38.294066428,45.593999999999994
83,-13.0,30.628131257,-22.980410598000002,24.751386637,45.593999999999994,13.0,-30.628131257,22.980410598000002,-24.751386637,45.593999999999994
84,-13.0,-39.681110894,19.788364443,10.613336277,45.593999999999994,13.0,39.681110894,-19.788364443,-10.613336277,45.593999999999994
85,-13.0,-36.015580113,-27.499208975,5.0482007518000005,45.593999999999994,13.0,36.015580113,27.499208975,-5.0482007518000005,45.593999999999994
